Course, Room, Semester, Period
MCV4U1, PB4, 2, 2, 
MCV4U1, PB4, 2, 3, 
MCV4U1, PB4, 2, 4, 
MCV4U1, PB6, 2, 1, 
SNC1D1, 1050, 1, 4, 
SNC1D1, 1050, 2, 3, 
SNC1D1, 1050, 1, 3, 
SNC1D1, 1050, 2, 1, 
SNC1D1, 1050, 1, 2, 
SNC1D1, 2018, 2, 2, 
SNC1D1, 1044, 1, 1, 
SNC1D1, 2011, 2, 2, 
CHC2D1, 2037, 2, 2, 
CHC2D1, 2037, 1, 4, 
CHC2D1, 2036, 2, 3, 
CHC2D1, 2036, 1, 1, 
CHC2D1, 2036, 2, 4, 
CHC2D1, 2036, 1, 2, 
CHC2D1, 2036, 2, 1, 
CHC2D1, 2036, 1, 3, 
SPH3U1, 2044, 1, 3, 
SPH3U1, 2018, 2, 4, 
SPH3U1, 1050, 2, 1, 
SPH3U1, 2018, 2, 1, 
SPH3U1, 2018, 2, 1, 
SPH3U1, 2018, 1, 4, 
SPH3U1, PB1, 2, 3, 
SPH3U1, 1059A, 1, 1, 
MHF4U1, PB3, 1, 2, 
MHF4U1, PB3, 1, 3, 
MHF4U1, PB3, 1, 4, 
MHF4U1, PB2, 1, 1, 
MHF4U1, PB2, 1, 2, 
MHF4U1, PB5, 1, 1, 
MHF4U1, PB5, 1, 2, 
MHF4U1, PB5, 1, 3, 
MHF4U1, PB4, 1, 1, 
ENG1D1, 2035, 2, 1, 
ENG1D1, 2035, 1, 4, 
ENG1D1, 2035, 2, 3, 
ENG1D1, 2035, 1, 2, 
ENG1D1, 2035, 2, 4, 
ENG1D1, 2035, 1, 1, 
ENG1D1, 2035, 2, 2, 
ENG1D1, 2035, 1, 3, 
ENG1D1, PB11, 2, 4, 
CIVCAR, PB11, 1, 3, 
CIVCAR, PB11, 2, 3, 
CIVCAR, PB11, 1, 4, 
CIVCAR, PB11, 2, 2, 
CIVCAR, PB11, 1, 1, 
CIVCAR, PB11, 2, 1, 
CIVCAR, PB11, 1, 2, 
CIVCAR, PB8, 2, 3, 
CIVCAR, 2010, 1, 3, 
CGC1D1, 2010, 2, 2, 
CGC1D1, 2010, 1, 4, 
CGC1D1, 2010, 2, 4, 
CGC1D1, 2010, 1, 2, 
CGC1D1, 2010, 2, 3, 
CGC1D1, 2010, 1, 1, 
CGC1D1, 1063, 1, 3, 
CGC1D1, 1060, 2, 1, 
CGC1D1, PB4, 1, 3, 
ENG3U1, 2009, 1, 1, 
ENG3U1, 2009, 2, 1, 
ENG3U1, 2009, 1, 4, 
ENG3U1, 2009, 2, 2, 
ENG3U1, 2009, 1, 2, 
ENG3U1, 2008, 2, 2, 
ENG3U1, 1061, 1, 4, 
ENG3U1, 2008, 2, 3, 
ENG3U1, 2008, 1, 3, 
ENG3U1, 2008, 2, 1, 
MPM2D1, 2008, 1, 1, 
MPM2D1, 2008, 2, 4, 
MPM2D1, 2008, 1, 4, 
MPM2D1, 2007, 2, 3, 
MPM2D1, 2007, 1, 1, 
MPM2D1, 2007, 2, 4, 
MPM2D1, 2007, 1, 2, 
MPM2D1, 2007, 2, 2, 
MPM2D1, 2007, 1, 3, 
MPM2D1, 2007, 2, 1, 
ENG4U1, 2007, 1, 4, 
ENG4U1, 2006, 2, 4, 
ENG4U1, 2006, 1, 4, 
ENG4U1, 2006, 2, 3, 
ENG4U1, 2006, 1, 1, 
ENG4U1, 2006, 2, 1, 
ENG4U1, 2006, 1, 2, 
ENG4U1, 2006, 2, 2, 
ENG4U1, 2006, 1, 3, 
ENG4U1, 2010A, 2, 2, 
ENG4U1, 2010A, 1, 3, 
MTH1W1, 2010A, 2, 4, 
MTH1W1, 2010A, 1, 2, 
MTH1W1, 2010A, 2, 1, 
MTH1W1, 2010A, 1, 1, 
MTH1W1, 2010A, 2, 3, 
MTH1W1, 2010A, 1, 4, 
MTH1W1, PB9, 2, 1, 
MTH1W1, PB5, 2, 2, 
MTH1W1, PB9, 2, 2, 
MTH1W1, 1036, 1, 2, 
MTH1W1, 1036, 2, 2, 
SNC2D1, 1036, 1, 4, 
SNC2D1, 1036, 2, 1, 
SNC2D1, 1036, 1, 3, 
SNC2D1, 1035, 2, 3, 
SNC2D1, 1035, 1, 1, 
SNC2D1, 1035, 2, 4, 
SNC2D1, 1035, 1, 2, 
SNC2D1, 1035, 2, 1, 
SNC2D1, 1035, 1, 4, 
SNC2D1, 1035, 2, 2, 
SNC2D1, 1035, 1, 3, 
ENG2D1, 1034, 2, 2, 
ENG2D1, 1034, 1, 1, 
ENG2D1, 1034, 2, 3, 
ENG2D1, 1034, 1, 2, 
ENG2D1, 1034, 2, 1, 
ENG2D1, 1034, 1, 4, 
ENG2D1, 1034, 2, 4, 
ENG2D1, 1034, 1, 3, 
ENG2D1, 1059A, 2, 4, 
ENG2D1, 1059A, 2, 1, 
ENG2D1, 1059A, 2, 3, 
ENG2D1, 1059A, 1, 2, 
