Course Code,Course Title,Grade,Type,Credits,Prequisites,Corequisites,Special,Caps (Per Class
ENG3UK,English,11,,,,,,30
ENG3UO,English,11,,,,,,30
ENG4C+,English,12,,,,,,28
ENG4C1,English,12,College,1,"[ENG3C1, ENG3U1, ENG3C2, ENG3U2, ESLEO1]",[],[],28
ENG4CK,English,12,,,,,,28
ENG4E1,English,12,Workplace,1,"[ENG3U1, ENG3C1, ENG3E1, ESLDO1]",[],[],28
ENG4U1,English,12,University,1,"[ENG3U1, ENG3U2, ESLEO1]",[],[],28
ENG4UB,English,12,,,,,,30
ENG4UE,English - Advanced Placement,12,University,1,"[ENG3U1, ENG3U2]",[],[],30
ENG4UK,English,12,,,,,,30
EPS3OZ,Presentation and Speaking Skills,10,Open,1,[],"[GLE2OZ], [KCWBNZ]",[],16
ESLAO1,English,9,Open,1,[],[],[],20
ESLBO1,"English as a Second Language, Level 2",10,Open,1,[ESLAO1],[],[],20
ESLCO1,"English as a Second Language, Level 3",11,Open,1,[],[],[],20
ESLDO1,"English as a Second Language, Level 4",12,Open,1,[ESLCO1],[],[],20
ESLEO1,"English as a Secondary Language, Level 5,",12,Open,1,[ESLDO1],[],[],20
ETS4U1,Studies in Literature - Children's,12,University,1,"[ENG3U1, ENG3U2]",[],[],28
EWC4U1,The Writer's Craft,12,University,1,"[ENG3U1, ENG3U2]",[],[],28
EWC4UK,The Writer's Craft,12,,,,,,28
FSF1D1,Core French,9,Academic,1,[],[],"Minimum of 600 hours of elementary Core French instruction, or equivalent",29
FSF1D2,Core French,9,Academic,,,,,29
FSF1DG,Core French,9,Academic,,,,,29
FSF1O1,Core French,9,,,,,,28
FSF1P1,Core French,9,Applied,1,[],[],"Minimum of 600 hours of elementary Core French instruction, or equivalent",22
FSF2D1,Core French,10,Academic,1,[FSF1D1],[],[],29
FSF2D2,Core French,10,,,,,,29
FSF2DG,Core French,10,,,,,,29
FSF2P1,Core French,10,,,,,,22
FSF3U1,Core French,11,University,1,[FSF2D1],[],[],30
FSF4U1,Core French,12,University,1,[FSF3U1],[],[],30
FSF4UE,Core French (Advanced Placement),12,,,,,,30
GLE1O1,Learning Strategies,9,Open,1,[],[],[],16
GLE1OZ,Learning Strategies 1: Skills for Success in Secondary School,9,Open,1,[],"[ELS2OZ], [KCWANZ]",[],16
GLE2O1,Learning Strategies,10,Open,1,[],[],[],16
GLE2OZ,Learning Strategies 1: Skills for Success in Secondary School,10,Open,1,[],"[EPS3OZ], [KCWBNZ]",[],16
GLE3O1,Advanced Learning Strategies,11,Open,1,[],[],[],16
GLE4O1,Advanced Learning Strategies,12,Open,1,[],[],[],16
GLN4O1,Navigating the Workplace,12,,,,,,28
GLS1O1,Learning Strategies 1: Skills for Success in Secondary School,9,,,,,,28
GPP3O1,Leadership and Peer Support,11,,,,,,28
GWL3OK,Designing Your Future,11,,,,,,28
HFA4C1,Nutrition and Health,12,,,,,,28
HFA4U1,Nutrition and Health,12,University,1,"[ENG3U2, NBE3U1, ENG4C1, ENG4U1, ENG4U, EETS4U1, EWC4U1, CHW3M1, HRT3M1, CHA3U1, HSP3U1, CHA3U1, HSP3U1, CHY4C1, CHI4U1, CHY4U1, HSB4U1, HZT4U1]",[],"Any university or university/college preparation course in Social Sciences and Humanities, English, or Canadian and World Studies.",28
HFC3M1,Food and Culture,11,,,,,,30
HFC3MT,Food and Culture,11,,,,,,30
HFN1O1,Food and Nutrition,9,Open,1,[],[],[],28
HFN2O1,Food and Nutrition,10,,,,,,28
HHG4M1,Issues in Human Growth and Development,12,University/College,1,"[ENG3U2, NBE3U1, ENG4C1, ENG4U1, ENG4U, EETS4U1, EWC4U1, CHW3M1, HRT3M1, CHA3U1, HSP3U1, CHA3U1, HSP3U1, CHY4C1, CHI4U1, CHY4U1, HSB4U1, HZT4U1]",[],"Any college, university or university/college preparation course in Canadian and World Studies, English, or Social Sciences and Humanities.",30
HHG4MB,Issues in Human Growth and Developm,12,,,,,,30
HHS4C1,Families in Canada,12,College,1,"[ENG3U2, NBE3U1, ENG4C1, ENG4U1, ENG4U, EETS4U1, EWC4U1, CHW3M1, HRT3M1, CHA3U1, HSP3U1, CHA3U1, HSP3U1, CHY4C1, CHI4U1, CHY4U1, HSB4U1, HZT4U1]",[],"Any university, college, or university/college preparation course in Social Sciences and Humanities, English, or Canadian and World Studies.",30
HHS4U1,Families in Canada,12,University,1,"[ENG3U2, NBE3U1, ENG4C1, ENG4U1, ENG4U, EETS4U1, EWC4U1, CHW3M1, HRT3M1, CHA3U1, HSP3U1, CHA3U1, HSP3U1, CHY4C1, CHI4U1, CHY4U1, HSB4U1, HZT4U1]",[],"Any university or university/college preparation course in Social Sciences and Humanities, English, or Canadian and World Studies.",30
HIF1O1,"Individual, Family and Social Living",9,,,,,,28
HIP4O1,Personal Life Management,12,Open,1,[],[],[],28
HLS3O1,Housing and Home Design,11,Open,1,[],[],[],28
HNL2O1,Clothing,10,Open,1,[],[],[],28
HPC3O1,Raising Healthy Children,11,Open,1,[],[],[],28
HPW3C1,Living and Working with Children,11,,,,,,28
HRT3M1,"World Religion: Beliefs, Issues and Religious Traditions",11,University/College,1,"[HC2D1, CHC2P1]",[],[],35
HSB4U1,Challenge and Change in Society,12,University,1,"[CHW3M1, HRT3M1, CHA3U1, HSP3U1, ENG3U2, NBE3U1, HHG4M1, HFA4U1, HHS4U1]",[],"Any university or university/college preparation course in Social Sciences and Humanities, English, or Canadian and World Studies.",30
HSG3M1,Gender Studies,11,,,,,,30
HSP3C1,"Introduction to Anthropology, Psychology, & Sociology",11,College,1,"[ENG2D1, ENG2P1, ENG2PV]",[],[],35
HSP3U1,"Introduction to Anthropology, Psychology & Sociology",11,University,1,[ENG2D1],[],[],60
HZT4U1,Philosophy: Questions and Theories,12,University,1,"[CHW3M1, HRT3M1, CHA3U1, HSP3U1, ENG3U2, NBE3U1, HHG4M1, HFA4U1, HHS4U1]",[],"Any U or U/C course in Canadian & World Studies, English or Social Science & Humanities.",30
HZT4UK,Philosophy: Questions and Theories,12,,,,,,30
ICS2O1,Introduction to Computer Studies,10,Open,1,[],[],[],28
ICS2O2,Intro to Computer Studies,10,,,,,,28
ICS2OG,Intro to Computer Studies,10,,,,,,28
ICS3C1,Introduction to Computer Science,11,College,1,[],[],[],28
ICS3U1,Introduction to Computer Science,11,University,1,[ICS3C1],[],[],28
ICS3U6,Introduction to Computer Science,11,,,,,,28
ICS4U1,Computer Science,12,University,1,[ICS3U1],[],[],28
ICS4UE,Computer Science,12,,,,,,28
IDC3O1,Twentieth Century History Through Film,11,Open,1,"[CHC2D1, CHC2P1]",[],[],35
IDC3OE,Interdisciplinary Studies,11,,,,,,28
IDC4O1,Natural Hazards & Disasters,12,Open,1,"[CGF3M1, CGR4M1, CGW4U1, SES4U1, ENG3C1, ENG3U1, ENG4C1, ETS4U1, EWC4U1, HRT3M1, HHG4M1, HZT4U1, CHA3U1, CHW3M1, CHI4U1, CHY4U1, NBV3C1, ENG3C2, ENG3U2]",[],[],35
IDC4U1,Interdisciplinary Studies,12,,,,,,30
IDC4U3,Interdisciplinary Studies,12,,,,,,30
IDC4UE,Interdisciplinary Studies,12,,,,,,30
KCCAND,Life Skills,0,,,,,,16
KCCCND,Life Skills,0,,,,,,16
KCCDND,Life Skills,0,,,,,,16
KCCEND,Life Skills,0,,,,,,16
KCCGND,Life Skills,0,,,,,,16
KCWANZ,Life Skills,9,Locally-Developed,0,[],"[GLE1OZ], [ELS2OZ]",[],16
KENAND,Language and Communication Development,0,,,,,,16
KENANR,Language and Communication Development,0,,,,,,16
KENBND,Language and Communication Development,0,,,,,,16
KENBNR,Language and Communication Development,0,,,,,,16
KENCND,Language and Communication Development,0,,,,,,16
KENCNR,Language and Communication Development,0,,,,,,16
KENDND,Language and Communication Development,0,,,,,,16
KENEND,Language and Communication Development,0,,,,,,16
KENENR,Language and Communication Development,0,,,,,,16
KENFNR,Language and Communication Development,0,,,,,,16
KENGND,Language and Communication Development,0,,,,,,16
KGLAND,Personal Life Skills,0,,,,,,16
KGLANR,Personal Life Skills,0,,,,,,16
KGLBND,Personal Life Skills,0,,,,,,16
KGLBNR,Personal Life Skills,0,,,,,,16
KGLCND,Personal Life Skills,0,,,,,,16
KGLCNR,Personal Life Skills,0,,,,,,16
KGLDND,Personal Life Skills,0,,,,,,16
KGLEND,Personal Life Skills,0,,,,,,16
KGLENR,Personal Life Skills,0,,,,,,16
KGLFNR,Personal Life Skills,0,,,,,,16
KMMAND,Numeracy and Numbers,0,,,,,,16
KMMANR,Numeracy and Numbers,0,,,,,,16
KMMBND,Numeracy and Numbers,0,,,,,,16
KMMBNR,Numeracy and Numbers,0,,,,,,16
KMMCND,Numeracy and Numbers,0,,,,,,16
KMMCNR,Numeracy and Numbers,0,,,,,,16
KMMDND,Numeracy and Numbers,0,,,,,,16
KMMEND,Numeracy and Numbers,0,,,,,,16
KMMENR,Numeracy and Numbers,0,,,,,,16
KMMFNR,Numeracy and Numbers,0,,,,,,16
KMMGND,Numeracy and Numbers,0,,,,,,16
KPFAND,Personal Health and Fitness,0,,,,,,16
KPFBND,Personal Health and Fitness,0,,,,,,16
KPFCND,Personal Health and Fitness,0,,,,,,16
KPFDND,Personal Health and Fitness,0,,,,,,16
KPFEND,Personal Health and Fitness,0,,,,,,16
KPFGND,Personal Health and Fitness,0,,,,,,16
KPHANR,Choice Making for Healthy Living,0,,,,,,16
KPHBNR,Choice Making for Healthy Living,0,,,,,,16
KPHCNR,Choice Making for Healthy Living,0,,,,,,16
KPHENR,Choice Making for Healthy Living,0,,,,,,16
KPHFNR,Choice Making for Healthy Living,0,,,,,,16
LWSBD1,International Languages - Beginning Spanish (offered alternate years) 2013-14,10,Academic,1,[],[],[],29
LWSDU1,International Languages - Third Year Spanish,12,University,1,[],[],[],29
MAP4C1,Foundations for College Mathematics,12,College,1,"[MBF3C1, MCF3M1, MCR3U1]",[],[],28
MAP4CK,Foundations for College Mathematics,12,,,,,,28
MAT1L1,Math - Locally Developed,9,Locally-Developed,1,[],[],[],16
MAT2L1,Math - Locally Developed,10,Locally-Developed,1,[],[],[],16
MAT2LK,Mathematics,10,,,,,,16
MBF3C1,Foundations for College Mathematics,11,College,1,"[MPM2D1, MFM2P1, MFM2PV]",[],[],28
MBF3CK,Foundations for College Mathematics,11,,,,,,28
MCF3M1,Functions and Applications,11,University/College,1,"[MPM2D1, MFM2P1, MFM2PV]",[],[],29
MCR3U1,Functions University Preparation,11,University,1,[MPM2D1],[],[],29
MCR3U6,Functions (Pre-AP),11,,,,,,30
MCT4C1,Mathematics for College Technology,12,College,1,"[MCF3M1, MCR3U1]",[],[],28
MCV4U1,Calculus & Vectors,12,University,1,[MHF4U1],[],[],30
MCV4UE,Calculus & Vectors (AP),12,,,,,,30
MDM4U1,Mathematics of Data Management,12,University,1,"[MCR3U1, MCF3M1]",[],[],30
MDM4UE,Mathematics of Data Management (AP),12,,,,,,30
MDM4UK,Mathematics of Data Management,12,,,,,,30
MEL3E1,Mathematics for Work and Everyday Life,11,Workplace,1,"[MPM2D1, MFM2P1, MAT2L1]",[],[],20
MEL4E1,Mathematics for Work and Everyday Life,12,Workplace,1,[MEL3E1],[],[],20
MFM1P1,Foundation of Mathematics,9,Applied,1,[],[],[],22
MFM1PV,Language Intensive Math,9,Applied,1,[],"[ENG1PV], [SNC1PV], [CGC1PV]",[],8
MFM2P1,Foundation of Mathematics,10,Applied,1,"[MFM1P1, MPM1D1]",[],[],22
MFM2PI,Foundations of Mathematics,10,,,,,,22
MFM2PK,Foundations of Mathematics,10,,,,,,22
MFM2PV,Language Intensive Math,10,Applied,1,[MFM1PV],"[ENG2PV], [SNC2PV], [CHC2PV]",[],8
MHF4U1,Advanced Functions,12,University,1,"[MCT4C1, MCR3U1]",[],[],30
MHF4U6,Advanced Functions (Pre-AP),12,University,,,,,30
MHF4UK,Advanced Functions,12,University,,,,,30
MPM2D1,Principles of Mathematics,10,Academic,1,[MPM1D1],[],[],29
MPM2D2,Principles of Mathematics,10,,,,,,29
MPM2DG,Principles of Mathematics (Gifted),10,,,,,,29
MTH1W1,Mathematics,9,,,,,,25
MTH1W7,Mathematics (STEAM),9,,,,,,25
MTH1WG,Mathematics (Gifted),9,,,,,,25
MTH1WK,Mathematics,9,,,,,,25
NBE3U1,English: Contemporary Aboriginal Voices,11,University,1,"[ENG2D1, ENG2P1, ENG2PV]",[],[],28
NBV3C1,"Aboriginal Beliefs, Values, and Aspirations in Contemporary Society",11,College,1,"[CHC2D1, CHC2P1]",[],[],28
OLC4O1,Ontario Secondary School Literacy Course,12,Open,1,[],[],,20
PAF2O8,Personal & Fitness Activities-Female,10,,,,,,28
PAF2O9,Personal and Fitness Activities-Male,10,,,,,,28
PAF3O1,Personal and Fitness Activities,11,Open,1,[],[],[],29
PAF3O8,Personal & Fitness Activities-Female,11,,,,,,28
PAF3O9,Personal and Fitness Activities-Male,11,,,,,,28
PAF4O1,Personal and Fitness Activities,12,Open,1,"[PPL1O8, PPL1O9, PPL2O8, PPL2O9, PAD3O2, PAF3O1, PPL3O1, PPL3O2]",[],[],29
PAF4O8,Personal & Fitness Activities-Female,12,,,,,,28
PAF4O9,Personal & Fitness Activities-Male,12,,,,,,28
PAI1O1,Individual & Small Group Activities,9,,,,,,28
PAI2O1,Individual & Small Group Activities,10,,,,,,28
PPL1O8,Healthy Active Living Education - Female,9,Open,1,[],[],[],29
PPL1O9,Healthy Active Living Education - Male,9,Open,1,[],[],[],29
PPL2O8,Healthy Active Living Education - Female,10,Open,1,[],[],[],29
PPL2O9,Healthy Active Living Education - Male,10,Open,1,[],[],[],29
PPL3O1,Healthy Active Living Education,11,Open,1,[],[],[],29
PPL3O8,Healthy Active Living Education - Female,11,,,,,,28
PPL3O9,Healthy Active Living Education - Male,11,,,,,,28
PPL3OC,Healthy Active Living Education,11,,,,,,28
PPL4O1,Healthy Active Living Education,12,Open,1,[],[],[],29
PPL4O8,Healthy Active Living Education - Female,12,,,,,,28
PPL4O9,Healthy Active Living Education - Male,12,,,,,,28
PPZ3CK,Health for Life,11,,,,,,28
PSE4U1,Exercise Science,12,University,1,"[PAF3O1, PPL3O1, PAF4O1, PPL4O1, SVN3M1, SBI3U1, SCH3U1, SPH3U1]",[],[],29
PSK4U1,Introductory Kinesiology,12,,,,,,30
PSK4UK,Introductory Kinesiology,12,,,,,,30
QUAD2A,QUAD 2 SEM 1 - A.M.,0,,,,,,16
QUAD3A,QUAD 3 SEM 2 - A.M.,0,,,,,,16
QUAD3P,QUAD 3 SEM 2 - P.M.,0,,,,,,16
QUAD4A,QUAD 4 SEM 2 - A.M.,0,,,,,,16
QUAD4P,QUAD 4 SEM 2 - P.M.,0,,,,,,16
SBI3C1,Biology,11,College,1,"[SNC2D1, SNC2P1, SNC2PV]",[],[],28
SBI3U1,Biology,11,University,1,[SNC2D1],[],[],30
SBI3U6,Biology (Pre-AP),11,,,,,,29
SBI4U1,Biology,12,University,1,[SBI3U1],[],[],29
SBI4UE,Biology (AP),12,,,,,,29
SBI4UK,Biology,12,,,,,,29
SCH3U1,Chemistry,11,University,1,[SNC2D1],[],[],29
